Benchmark/0-4         	30000000	        40.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        40.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        42.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        41.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        45.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        44.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       119 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       116 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       114 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       112 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       114 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       111 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       114 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       123 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       116 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       114 ns/op	     112 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       741 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       736 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       754 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       747 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       778 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       877 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       744 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       745 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       743 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       738 ns/op	     688 B/op	      21 allocs/op
Benchmark/100-4       	  200000	      6900 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6762 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7038 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6853 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7138 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7074 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7435 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7118 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6837 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6880 ns/op	    6448 B/op	     201 allocs/op
Benchmark/1000-4      	   20000	     74684 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69548 ns/op	   64048 B/op	    2001 allocs/op
