Benchmark/0-4         	30000000	        39.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4         	20000000	        93.0 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.9 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.5 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.5 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        93.1 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.6 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.7 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        93.4 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.6 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        92.6 ns/op	      56 B/op	       3 allocs/op
Benchmark/10-4        	 3000000	       570 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       570 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       573 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       592 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       568 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       570 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       569 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       571 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       568 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       568 ns/op	     440 B/op	      16 allocs/op
Benchmark/100-4       	  500000	      3593 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3558 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3553 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3589 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3578 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3611 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3582 ns/op	    3672 B/op	     109 allocs/op
