Benchmark/0-4 	  200000	     10118 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9899 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9849 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9876 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	     10022 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	     10159 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9813 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9837 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9775 ns/op	   65648 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9726 ns/op	   65648 B/op	       3 allocs/op
Benchmark/1-4 	  200000	     10026 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10014 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10087 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10010 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10046 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10048 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10009 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10032 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10085 ns/op	   65760 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10792 ns/op	   65760 B/op	      10 allocs/op
Benchmark/10-4         	  100000	     12156 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     13085 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12294 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  200000	     12211 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  200000	     12157 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12193 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  200000	     12043 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12913 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12941 ns/op	   66768 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12025 ns/op	   66768 B/op	      73 allocs/op
Benchmark/100-4        	   50000	     29425 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29643 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29585 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     32094 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     31083 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     30082 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29659 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29783 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29657 ns/op	   76848 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29664 ns/op	   76848 B/op	     703 allocs/op
Benchmark/1000-4       	   10000	    203484 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    202081 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    203018 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    202643 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    206454 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    203322 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    203008 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    204360 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    204087 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/1000-4       	   10000	    203366 ns/op	  177648 B/op	    7003 allocs/op
Benchmark/10000-4      	    1000	   1959721 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1978184 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1957656 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1979461 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1963046 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1968772 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1993514 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1999597 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1996306 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/10000-4      	    1000	   1984625 ns/op	 1316864 B/op	   70007 allocs/op
Benchmark/100000-4     	     100	  23295859 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  23133391 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  23199200 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  22984680 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  23531666 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  22937216 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  22566079 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  22756881 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  24115587 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/100000-4     	     100	  23061304 ns/op	12840000 B/op	  700032 allocs/op
Benchmark/1000000-4    	       5	 238950645 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 238676064 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 244076175 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 251553082 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 238393223 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 242967922 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 241303106 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 247792728 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 241111964 ns/op	128068672 B/op	 7000255 allocs/op
Benchmark/1000000-4    	       5	 235968186 ns/op	128068672 B/op	 7000255 allocs/op
