Benchmark/0-4 	50000000	        38.6 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       360 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       358 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       363 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     288 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       358 ns/op	     288 B/op	      10 allocs/op
Benchmark/10-4         	  500000	      2509 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2513 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2506 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2504 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2513 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2505 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2512 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2512 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2501 ns/op	    1552 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2504 ns/op	    1552 B/op	      74 allocs/op
Benchmark/100-4        	  100000	     23601 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23421 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23487 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23309 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23354 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23425 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23386 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23365 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23395 ns/op	   16800 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     23434 ns/op	   16800 B/op	     707 allocs/op
Benchmark/1000-4       	   10000	    222853 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221888 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221900 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221834 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221173 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221889 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    222071 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	    5000	    222490 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221334 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    221511 ns/op	  130032 B/op	    7013 allocs/op
Benchmark/10000-4      	    1000	   2269923 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2288154 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2271260 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2278746 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2274712 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2266954 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2274523 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2275435 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2284893 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/10000-4      	    1000	   2269898 ns/op	 1423968 B/op	   70151 allocs/op
Benchmark/100000-4     	      50	  24819792 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24725078 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24815016 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24713691 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  25061010 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24843665 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24744356 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  25122299 ns/op	14421344 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  25233862 ns/op	14421344 B/op	  701559 allocs/op
