Benchmark/0-4 	30000000	        40.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        43.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        40.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        41.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       506 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       528 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       506 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       507 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       495 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       491 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       497 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       491 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       492 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       493 ns/op	     496 B/op	      15 allocs/op
Benchmark/10-4         	  300000	      4702 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4742 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5030 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5073 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4996 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5184 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5126 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4900 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4877 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5196 ns/op	    4528 B/op	     141 allocs/op
Benchmark/100-4        	   30000	     48606 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48673 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46942 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46183 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46282 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48693 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     54886 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48423 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46686 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46777 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/1000-4       	    3000	    466101 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    460650 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    458543 ns/op	  448048 B/op	   14001 allocs/op
