Benchmark/0-4 	50000000	        40.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        40.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.7 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        40.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.8 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.8 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       336 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       335 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       336 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       352 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       345 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       347 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       340 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       340 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       340 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4 	 5000000	       348 ns/op	     200 B/op	      11 allocs/op
Benchmark/10-4         	 1000000	      2220 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2246 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2153 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2176 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2133 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2135 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2162 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2152 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2141 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2153 ns/op	    1400 B/op	      76 allocs/op
Benchmark/100-4        	  100000	     18340 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18373 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18358 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18418 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18394 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18353 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18306 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18408 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18269 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18146 ns/op	   13272 B/op	     709 allocs/op
Benchmark/1000-4       	   10000	    175736 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175236 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175584 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    174970 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    174617 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    176082 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175421 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175057 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    174696 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    174907 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/10000-4      	    1000	   1893829 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1874687 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1871841 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1847579 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1853031 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1875892 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1886352 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1888925 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1849359 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1871537 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/100000-4     	      50	  26360409 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25535871 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  28032974 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  26231712 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25721202 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  26668945 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  26265649 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  26590595 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25630947 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25818225 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/1000000-4    	       5	 283379211 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 277635904 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 312498742 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       3	 341413913 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       3	 336279092 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 281390913 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 289525255 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 288466676 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 285122034 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 287435311 ns/op	157188376 B/op	 7000041 allocs/op
