Benchmark/0-4 	30000000	        34.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        33.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.4 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        33.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        33.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        33.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        34.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       346 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       345 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       345 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       346 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       348 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       346 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       341 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       344 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       341 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4 	 5000000	       341 ns/op	     256 B/op	      10 allocs/op
Benchmark/10-4         	 1000000	      2389 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2407 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2400 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2411 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2393 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2389 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2385 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2385 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2399 ns/op	    1520 B/op	      74 allocs/op
Benchmark/10-4         	 1000000	      2386 ns/op	    1520 B/op	      74 allocs/op
Benchmark/100-4        	  100000	     22250 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22231 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22334 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22217 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22353 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22204 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22175 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22198 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22249 ns/op	   16720 B/op	     706 allocs/op
Benchmark/100-4        	  100000	     22256 ns/op	   16720 B/op	     706 allocs/op
Benchmark/1000-4       	   10000	    211303 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    210733 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    211393 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    210850 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    211258 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    210461 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    212912 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    212310 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    212615 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/1000-4       	   10000	    212033 ns/op	  133904 B/op	    7007 allocs/op
Benchmark/10000-4      	    1000	   2132193 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2168955 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2188636 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2147066 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2149949 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2148624 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2152386 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2180339 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2159216 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/10000-4      	    1000	   2145776 ns/op	 1289792 B/op	   70025 allocs/op
Benchmark/100000-4     	     100	  23764126 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	      50	  23680284 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	      50	  23601614 ns/op	12815809 B/op	  700201 allocs/op
Benchmark/100000-4     	      50	  23798248 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	     100	  24120041 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	     100	  23541907 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	      50	  23483957 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	     100	  23700195 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	     100	  23802164 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/100000-4     	      50	  23552636 ns/op	12815808 B/op	  700201 allocs/op
Benchmark/1000000-4    	       5	 241588084 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 242118796 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 255489229 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 242755325 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 240753711 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 240748216 ns/op	128059555 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 246212463 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 243218804 ns/op	128059536 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 246359642 ns/op	128059555 B/op	 7001959 allocs/op
Benchmark/1000000-4    	       5	 241454310 ns/op	128059536 B/op	 7001959 allocs/op
