Benchmark/1-4                	  500000	      3396 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3389 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3298 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3376 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3322 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3390 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3455 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3349 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3341 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3375 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     30789 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31296 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30830 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32044 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31275 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32060 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31866 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31367 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31164 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31281 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    312588 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    306156 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    308274 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    305639 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    309179 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    311168 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    303103 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    303058 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    302580 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    302971 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   2979441 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3120669 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3123886 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3025785 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3030761 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3035282 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3096254 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3072851 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3047228 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3068233 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  30524613 ns/op	16003943 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30737946 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  29766789 ns/op	16003939 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30495314 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30259610 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30947949 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  29674602 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30567112 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31987750 ns/op	16003939 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32088085 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 370158944 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 403755903 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 373135569 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 366194715 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 386129131 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 353925631 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 361643389 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 366119385 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 354711331 ns/op	160546666 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 371359001 ns/op	160546666 B/op	10000010 allocs/op
