Benchmark/1-4                	  300000	      3657 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3687 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3690 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3665 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3577 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3635 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3624 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3650 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3680 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3637 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     35784 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35505 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35613 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35955 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35818 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35573 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35808 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36205 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36162 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36256 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    341470 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    344377 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    342628 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    351101 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    344794 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    344024 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    345556 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    346536 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    345230 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    346582 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3425585 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3359125 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3448271 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3407509 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3310619 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3319238 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3420957 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3398449 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3420866 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3385173 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  36452768 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36403451 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36477892 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  36525162 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36371237 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36676465 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36316058 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36697641 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36355549 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36276864 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/100000-4           	       3	 390892523 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 390759873 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 390365407 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 392016943 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 390879382 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 390658414 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 401626259 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 401767097 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 400767304 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 401118373 ns/op	319965792 B/op	10077205 allocs/op
