Benchmark/1-4            	  500000	      3053 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3022 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3111 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3052 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3106 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3118 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3113 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3115 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3085 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3061 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     31233 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31621 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31500 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32165 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30818 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31669 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30941 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32642 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30745 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31755 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    307085 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    314920 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    314041 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    306520 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    307097 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    300217 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    313097 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    298764 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    316713 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    304277 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3280158 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3213254 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3107827 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3386716 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3021783 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3023547 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3025740 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3068274 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3049864 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3140059 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  33989510 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  33657591 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  34889358 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  33431304 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31277558 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30885023 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  34073215 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30405373 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31817950 ns/op	16000005 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31408765 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 349173163 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 344565188 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 389911930 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 358323436 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 349209885 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 351461730 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 342309097 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 350608168 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 351337042 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 347219524 ns/op	160000000 B/op	10000000 allocs/op
