Benchmark/1-4            	  200000	      8338 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8196 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8142 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8067 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8317 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8139 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8162 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8143 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8208 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8227 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4           	   20000	     84815 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     81086 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     86427 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     84259 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     84488 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     86626 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     91652 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     85688 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     88354 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     90201 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4          	    2000	    876250 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    895793 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    843094 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    841981 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    867653 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    923470 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    877399 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    930047 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    847320 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    852556 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4         	     200	   8709866 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8918593 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8774183 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	  10113434 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9291278 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     100	  13824788 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     100	  10556704 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8584092 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8423091 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9053018 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4        	      20	  89587771 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  91619006 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  99027558 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  90797718 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  88096028 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  94484883 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  87495275 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  88257419 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  91134163 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  92641435 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/100000-4       	       1	1652032676 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1639741361 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1774957728 ns/op	640000192 B/op	20000002 allocs/op
Benchmark/100000-4       	       1	1682865538 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1779981205 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1789932353 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1777708962 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1768484815 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1621743114 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1807125461 ns/op	640000096 B/op	20000001 allocs/op
