Benchmark/1-4            	  500000	      3072 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3187 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3101 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3187 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3404 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3139 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3275 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3224 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3161 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3040 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     31434 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30381 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33108 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33725 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31779 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31446 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34376 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32573 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31168 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32916 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    307979 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    306126 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    299989 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    318497 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    301248 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    308324 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    303950 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    321143 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    306372 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    316653 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3206411 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2933801 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2980230 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3149864 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3087082 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3070305 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3069048 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3190559 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3172427 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3190550 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  30185985 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  29989170 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31144890 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30433313 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32802630 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30704424 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30540283 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30616453 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32827218 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31648938 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 383920379 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 415594789 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 386908185 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 407283497 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 380808516 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 381296084 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 382752377 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 380091627 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 424313609 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 356934656 ns/op	160000000 B/op	10000000 allocs/op
