Benchmark/1-4            	  500000	      3417 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3434 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3360 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3376 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3310 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3370 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3362 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3417 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3434 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3361 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     34085 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34811 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     35043 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34099 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33428 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34581 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34073 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34774 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34584 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34904 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3000	    337318 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    332889 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    339453 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    333117 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    339258 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    343340 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    334828 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    335612 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    336566 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    331414 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3341883 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3358630 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3295777 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3249502 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3369582 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3305977 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3417660 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3328463 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3288571 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3377744 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  32653906 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32350671 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32539991 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32192541 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32389734 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32981326 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32419858 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  33072448 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32761363 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32380534 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 358411870 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 363508740 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 356356868 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 353368510 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 360075347 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 354080767 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 364389182 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 360340956 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 358849054 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 359638873 ns/op	160000000 B/op	10000000 allocs/op
