Benchmark/1-4                	  500000	      2853 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2914 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2858 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2847 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2849 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2852 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2847 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2855 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2848 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2864 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     27757 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27815 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27966 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27911 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27980 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     28153 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27976 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27876 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27921 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27963 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    266919 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    266442 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    270161 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    283840 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    280351 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    294264 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    303125 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    309186 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    284353 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    266058 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   2913250 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2927477 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2770936 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2641592 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2640458 ns/op	 1600033 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2654583 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2880310 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2638294 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2644751 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2637188 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  32797022 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  29869711 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30218998 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31758680 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32017216 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  33969043 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      30	  38802346 ns/op	16012880 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  36303725 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32903571 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32482488 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 383233087 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 360629803 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 377026071 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 385765003 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 385141614 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 391047441 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 411076627 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 386782989 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 405535844 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 391084996 ns/op	161551453 B/op	10000010 allocs/op
