Benchmark/1-4                	  500000	      3235 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3201 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3219 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3194 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3208 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3207 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3198 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3207 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3230 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3211 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     31296 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30962 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30894 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30593 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31221 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30587 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30568 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30963 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30685 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30463 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    299065 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    295702 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    298198 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    292054 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    296388 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    293630 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    296847 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    292792 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    301349 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    294676 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3067523 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3084025 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3100242 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3081281 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3093519 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3083152 ns/op	 2422433 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3099211 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3081158 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3074617 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3086298 ns/op	 2422432 B/op	  100200 allocs/op
Benchmark/10000-4            	      50	  33168366 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  32988348 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33067215 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33031873 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33084133 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33046105 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33007707 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  32977804 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33030098 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/10000-4            	      50	  33338566 ns/op	31625926 B/op	 1003800 allocs/op
Benchmark/100000-4           	       3	 348593712 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 349976702 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 350254113 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 351546792 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 351504616 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 353231489 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 349203998 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 351709665 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 348809307 ns/op	320373434 B/op	10039003 allocs/op
Benchmark/100000-4           	       3	 349284908 ns/op	320373434 B/op	10039003 allocs/op
