Benchmark/1-4          	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       339 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       336 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       362 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       342 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       356 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3280 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3345 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3273 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3296 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3352 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3544 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3408 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3591 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3237 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3285 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     33004 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33382 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32476 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33234 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32718 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33619 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33436 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33078 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32825 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33029 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    330864 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    325538 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    328631 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    330561 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    327078 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    328510 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    326880 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    330803 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    328755 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    325917 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3278007 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3277885 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3277913 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3308529 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3287282 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3291025 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3282492 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3270555 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3625871 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3561218 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  32628542 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33244039 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32821729 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32639600 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32741271 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32935576 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33007848 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32972906 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32448086 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  32718937 ns/op	16000000 B/op	 1000000 allocs/op
