Benchmark/1-4          	50000000	        35.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       357 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       356 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       357 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3499 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3519 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3490 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3539 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3504 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3498 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3503 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3516 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3507 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3499 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     34890 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34644 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34870 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35017 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35073 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35514 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34622 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34964 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34982 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34916 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    350382 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    351781 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    351887 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    349351 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    346583 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    358935 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    351629 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    347713 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    348475 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    353378 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3492325 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3488604 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3494729 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3528699 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3522163 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3491439 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3485752 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3499506 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3500005 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3493134 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  34827572 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  35109581 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34936266 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34840241 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34999157 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34717675 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34472931 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34590864 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  35431499 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34549983 ns/op	16000000 B/op	 1000000 allocs/op
