Benchmark/1-4          	20000000	        84.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        77.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        70.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        70.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        68.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        69.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        69.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        69.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        68.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        68.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4         	 2000000	       691 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       686 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       691 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       688 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       687 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       690 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       690 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       692 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       697 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       688 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4        	  200000	      6802 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6813 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6798 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6987 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6827 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6811 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7141 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7356 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7849 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6906 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4       	   20000	     68062 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     71739 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   10000	    101173 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     70677 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     71670 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     68565 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67901 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67886 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     68096 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     68251 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4      	    2000	    682306 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    675428 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    707798 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    682058 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    685066 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    683016 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    683045 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    692877 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    695986 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    689065 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100000-4     	     200	   6883252 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6793516 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6814695 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   7064909 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6924030 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6890920 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6799430 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6800904 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6842754 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6815328 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/1000000-4    	      20	  68082759 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  67866472 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  68405019 ns/op	64000014 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  68696196 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  68164053 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  69243059 ns/op	64000014 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  69025181 ns/op	64000009 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  67882692 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  68896923 ns/op	64000014 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  68616106 ns/op	64000009 B/op	 2000000 allocs/op
