Benchmark/1-4          	50000000	        32.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        31.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        31.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       325 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       341 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       324 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       322 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       325 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       320 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       321 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       322 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       314 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       323 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3067 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3103 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3268 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3159 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3198 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3172 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3190 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3229 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3294 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3121 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     31093 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     31899 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32380 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     31144 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30751 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30289 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30762 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30781 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     31511 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32062 ns/op	   16000 B/op	    1000 allocs/op
