Benchmark/1-4          	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       347 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3386 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3404 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3427 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3397 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3387 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3482 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3420 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3389 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3420 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3425 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     33798 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33844 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37647 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34043 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33587 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33827 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33517 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34005 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33547 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33692 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    336908 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    339207 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335125 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    352370 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    345509 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335669 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    336276 ns/op	  160000 B/op	   10000 allocs/op
