Benchmark/1-4          	  200000	      9970 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9929 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9954 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9965 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9923 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9926 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9910 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9897 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9934 ns/op	   65680 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9913 ns/op	   65680 B/op	       5 allocs/op
Benchmark/10-4         	  200000	     10532 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10564 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10596 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10782 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10676 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10659 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11224 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10672 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10691 ns/op	   65968 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10623 ns/op	   65968 B/op	      23 allocs/op
Benchmark/100-4        	  100000	     15726 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15908 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15823 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15742 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15784 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15742 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15725 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16481 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16459 ns/op	   68848 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16685 ns/op	   68848 B/op	     203 allocs/op
Benchmark/1000-4       	   20000	     68717 ns/op	   97648 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     70342 ns/op	   97648 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     71790 ns/op	   97648 B/op	    2003 allocs/op
Benchmark/1000-4       	   20000	     68221 ns/op	   97648 B/op	    2003 allocs/op
