Benchmark/1-4          	10000000	       205 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       206 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       207 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       206 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       204 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     208 B/op	       5 allocs/op
Benchmark/10-4         	 2000000	       912 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       914 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       916 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       918 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       915 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       925 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       914 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       917 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       913 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       915 ns/op	     752 B/op	      24 allocs/op
Benchmark/100-4        	  200000	      7960 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7973 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7958 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7964 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7968 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7985 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7989 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7994 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8000 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7959 ns/op	    8800 B/op	     207 allocs/op
Benchmark/1000-4       	   20000	     68964 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68848 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68723 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68734 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68750 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68680 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     68654 ns/op	   50032 B/op	    2013 allocs/op
