Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       155 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       159 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       154 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       151 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       151 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/10-4         	 2000000	       850 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       857 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       866 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       882 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       878 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       854 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       870 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       873 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       849 ns/op	     600 B/op	      26 allocs/op
Benchmark/10-4         	 2000000	       851 ns/op	     600 B/op	      26 allocs/op
Benchmark/100-4        	  200000	      6095 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6064 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6167 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6050 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  300000	      6044 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6058 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  300000	      6073 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6064 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6128 ns/op	    5272 B/op	     209 allocs/op
Benchmark/100-4        	  200000	      6186 ns/op	    5272 B/op	     209 allocs/op
Benchmark/1000-4       	   30000	     56986 ns/op	   48408 B/op	    2012 allocs/op
