Benchmark/1-4          	10000000	       187 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       187 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       186 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       187 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       188 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       187 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       186 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       188 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       186 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       189 ns/op	     208 B/op	       5 allocs/op
Benchmark/10-4         	 2000000	       823 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       819 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       827 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       825 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       838 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       820 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       827 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       826 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       821 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 2000000	       827 ns/op	     752 B/op	      24 allocs/op
Benchmark/100-4        	  200000	      6904 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6920 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6920 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6957 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6922 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6915 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6920 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6970 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6921 ns/op	    7216 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      6908 ns/op	    7216 B/op	     207 allocs/op
Benchmark/1000-4       	   20000	     63065 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63596 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63203 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63075 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63484 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     62992 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     62811 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63609 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63030 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/1000-4       	   20000	     63150 ns/op	   64752 B/op	    2013 allocs/op
Benchmark/10000-4      	    2000	    630451 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    636578 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    632310 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    629703 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    634014 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    653341 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    639434 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    630954 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    630404 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    635133 ns/op	  648816 B/op	   20085 allocs/op
Benchmark/100000-4     	     200	   7291635 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7269638 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7456329 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7330446 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7273739 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7281503 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7304450 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7447270 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7327040 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/100000-4     	     200	   7299344 ns/op	 6423664 B/op	  200789 allocs/op
Benchmark/1000000-4    	      20	  83721193 ns/op	64139248 B/op	 2007821 allocs/op
Benchmark/1000000-4    	      20	  81813420 ns/op	64139248 B/op	 2007821 allocs/op
