Benchmark/1-4                	50000000	        31.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       323 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       304 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       310 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       335 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       337 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       370 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       331 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       362 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       316 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3082 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2948 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3121 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3291 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3063 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2981 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3299 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3165 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3071 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3185 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     30089 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30636 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     31497 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29640 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33136 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30139 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     32738 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34123 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30817 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     32310 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    344359 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    329542 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    315752 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    310929 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    294296 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    295134 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    302515 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    342374 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    315272 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    327949 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3106853 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3206833 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3045020 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2900882 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2985588 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2957352 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3181558 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3052808 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3095471 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3301506 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  32530837 ns/op	16000005 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  30687338 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  31083071 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29298668 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28831469 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  30317210 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29564244 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29932934 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29026717 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29472328 ns/op	16000000 B/op	 1000000 allocs/op
