Benchmark/1-4                	20000000	        81.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        80.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        79.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        80.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        79.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        80.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        80.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        79.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        79.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        79.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4               	 2000000	       803 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       804 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       806 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       805 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       897 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       843 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       797 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       859 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       804 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       799 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4              	  200000	      8030 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7998 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7927 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7958 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8041 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8197 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8035 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8448 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8015 ns/op	    6400 B/op	     200 allocs/op
