Benchmark/1-4                	50000000	        32.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        32.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       326 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       310 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       310 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       308 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       345 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       319 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       308 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       298 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       306 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       288 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      2989 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2953 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3099 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3041 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3061 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3035 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2992 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2961 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3016 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2901 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     29418 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29939 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29196 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30468 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29448 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29411 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30490 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     31266 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29426 ns/op	   16000 B/op	    1000 allocs/op
