Benchmark/1-4                	50000000	        28.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       292 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       290 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       293 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       294 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       303 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       291 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       295 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       292 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       317 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      2917 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2935 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2935 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2851 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2839 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2900 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2828 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2845 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2868 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2832 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     28401 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28243 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     29205 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28205 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28149 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28832 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28866 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28688 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28034 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28017 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    284152 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    281360 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    288212 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    285782 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    284691 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    284216 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    284078 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    285101 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    286263 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    283388 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   2821937 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2861841 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2915280 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2820345 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2837297 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2945106 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2865897 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2855675 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2850074 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2800502 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  28281158 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28707416 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28307662 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28551648 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28372329 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28308730 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28433463 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28471026 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28509262 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  29681791 ns/op	16000000 B/op	 1000000 allocs/op
