goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillDeque/0-4         	50000000	        38.0 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/1-4         	10000000	       171 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       171 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       171 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       171 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       171 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       173 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       171 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       174 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       583 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       600 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       583 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       582 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       582 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       582 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       585 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       585 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       584 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       582 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4730 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4732 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4782 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4728 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4729 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4738 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4741 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4741 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4785 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4737 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36575 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36568 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36483 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36565 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37019 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36702 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36619 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36569 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36659 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     36524 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    363830 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    363251 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    362416 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    361751 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    362644 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    361852 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    367294 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    362380 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    364197 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    362750 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3830724 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3907684 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3849563 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3882663 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3826830 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3861721 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3852081 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3829025 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3829786 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/100000-4    	     500	   3828399 ns/op	 3221760 B/op	  100787 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  44046662 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  43804361 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  44490042 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  43961425 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  44648804 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  43708768 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  44333641 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  44504142 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  43722123 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDeque/1000000-4   	      30	  42886030 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/0-4 	50000000	        38.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       360 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       358 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       363 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       356 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       357 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       357 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/1-4 	 5000000	       358 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2509 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2513 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2506 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2504 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2513 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2505 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2512 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2512 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2501 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/10-4         	  500000	      2504 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23601 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23421 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23487 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23309 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23354 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23425 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23386 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23365 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23395 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/100-4        	  100000	     23434 ns/op	   16800 B/op	     707 allocs/op
BenchmarkMicroserviceDeque/1000-4       	   10000	    222853 ns/op	  130032 B/op	    7013 allocs/op
