goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillStack/0-4         	50000000	        27.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        27.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/1-4         	10000000	       156 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       156 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       155 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       157 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       155 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       156 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       156 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       155 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       155 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       157 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillStack/10-4        	 3000000	       540 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       539 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       538 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       538 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       538 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       538 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       538 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       539 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       542 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       539 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillStack/100-4       	  300000	      4127 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4185 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4193 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4130 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4122 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4134 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4128 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4121 ns/op	    5616 B/op	     107 allocs/op
